n,alg,time
1700,b1,0.003000
1700,b2,2.962000
1700,b1,0.003000
1700,b2,2.933000
1700,b1,0.002000
1700,b2,2.953000
1700,b1,0.003000
1700,b2,2.994000
1700,b1,0.002000
1700,b2,3.046000
1700,b1,0.003000
1700,b2,2.911000
1700,b1,0.003000
1700,b2,2.976000
1700,b1,0.003000
1700,b2,3.000000
1800,b1,0.006000
1800,b2,3.293000
1800,b1,0.003000
1800,b2,3.322000
1800,b1,0.003000
1800,b2,3.328000
1800,b1,0.003000
1800,b2,3.339000
1800,b1,0.002000
1800,b2,3.445000
1800,b1,0.003000
1800,b2,3.804000
1800,b1,0.003000
1800,b2,3.539000
1800,b1,0.003000
1800,b2,3.296000
1800,b1,0.003000
1800,b2,3.334000
1800,b1,0.003000
1800,b2,3.307000
1900,b1,0.007000
1900,b2,3.903000
1900,b1,0.005000
1900,b2,4.431000
1900,b1,0.002000
1900,b2,3.818000
1900,b1,0.003000
1900,b2,3.719000
1900,b1,0.003000
1900,b2,3.694000
1900,b1,0.003000
1900,b2,3.729000
1900,b1,0.004000
1900,b2,3.678000
1900,b1,0.003000
1900,b2,3.698000
1900,b1,0.003000
1900,b2,3.993000
1900,b1,0.003000
1900,b2,4.049000
2000,b1,0.006000
2000,b2,4.025000
2000,b1,0.003000
2000,b2,4.133000
2000,b1,0.003000
2000,b2,4.053000
2000,b1,0.003000
2000,b2,4.100000
2000,b1,0.003000
2000,b2,4.068000
2000,b1,0.003000
2000,b2,4.042000
2000,b1,0.003000
2000,b2,5.160000
2000,b1,0.004000
2000,b2,4.643000
2000,b1,0.003000
2000,b2,4.178000
2000,b1,0.003000
2000,b2,4.077000
1000,b1,0.005000
1000,b2,1.154000
1000,b1,0.002000
1000,b2,1.122000
1000,b1,0.002000
1000,b2,1.095000
1000,b1,0.002000
1000,b2,1.076000
1000,b1,0.002000
1000,b2,1.083000
1000,b1,0.002000
1000,b2,1.100000
1000,b1,0.002000
1000,b2,1.195000
1000,b1,0.016000
1000,b2,1.227000
1000,b1,0.002000
1000,b2,1.295000
1000,b1,0.003000
1000,b2,1.292000
1100,b1,0.006000
1100,b2,1.412000
1100,b1,0.002000
1100,b2,1.287000
1100,b1,0.002000
1100,b2,1.396000
1100,b1,0.002000
1100,b2,1.332000
1100,b1,0.002000
1100,b2,1.296000
1100,b1,0.002000
1100,b2,1.380000
1100,b1,0.003000
1100,b2,1.306000
1100,b1,0.002000
1100,b2,1.350000
1100,b1,0.003000
1100,b2,1.331000
1100,b1,0.002000
1100,b2,1.509000
1200,b1,0.007000
1200,b2,1.979000
1200,b1,0.004000
1200,b2,1.712000
1200,b1,0.003000
1200,b2,1.639000
1200,b1,0.002000
1200,b2,1.727000
1200,b1,0.002000
1200,b2,1.541000
1200,b1,0.002000
1200,b2,1.506000
1200,b1,0.002000
1200,b2,1.598000
1200,b1,0.003000
1200,b2,1.589000
1200,b1,0.015000
1200,b2,1.488000
1200,b1,0.002000
1200,b2,1.556000
1300,b1,0.006000
1300,b2,1.893000
1300,b1,0.003000
1300,b2,1.974000
1300,b1,0.003000
1300,b2,1.806000
1300,b1,0.003000
1300,b2,1.824000
1300,b1,0.003000
1300,b2,1.748000
1300,b1,0.003000
1300,b2,1.817000
1300,b1,0.003000
1300,b2,1.808000
1300,b1,0.002000
1300,b2,1.883000
1300,b1,0.002000
1300,b2,1.788000
1300,b1,0.002000
1300,b2,1.794000
1400,b1,0.010000
1400,b2,2.127000
1400,b1,0.002000
1400,b2,2.098000
1400,b1,0.002000
1400,b2,2.144000
1400,b1,0.003000
1400,b2,2.026000
1400,b1,0.003000
1400,b2,2.039000
1400,b1,0.003000
1400,b2,1.998000
1400,b1,0.002000
1400,b2,2.503000
1400,b1,0.003000
1400,b2,2.553000
1400,b1,0.003000
1400,b2,2.661000
1400,b1,0.003000
1400,b2,2.668000
1500,b1,0.006000
1500,b2,2.318000
1500,b1,0.002000
1500,b2,2.463000
1500,b1,0.002000
1500,b2,2.361000
1500,b1,0.002000
1500,b2,2.507000
1500,b1,0.003000
1500,b2,2.661000
1500,b1,0.003000
1500,b2,2.537000
1500,b1,0.003000
1500,b2,2.324000
1500,b1,0.002000
1500,b2,2.272000
1500,b1,0.002000
1500,b2,2.314000
1500,b1,0.003000
1500,b2,2.335000
1600,b1,0.006000
1600,b2,2.796000
1600,b1,0.002000
1600,b2,2.692000
1600,b1,0.003000
1600,b2,2.749000
1600,b1,0.002000
1600,b2,3.087000
1600,b1,0.003000
1600,b2,2.809000
1600,b1,0.003000
1600,b2,2.918000
1600,b1,0.003000
1600,b2,2.722000
1600,b1,0.002000
1600,b2,2.653000
1600,b1,0.003000
1600,b2,2.659000
1600,b1,0.003000
1600,b2,2.665000
1700,b1,0.006000
1700,b2,2.956000
1700,b1,0.003000
1700,b2,2.971000
1700,b1,0.003000
1700,b2,2.902000
1700,b1,0.002000
1700,b2,2.927000
1700,b1,0.003000
1700,b2,2.951000
1700,b1,0.002000
1700,b2,2.924000
1700,b1,0.003000
1700,b2,2.872000
1700,b1,0.003000
1700,b2,2.950000
1700,b1,0.002000
1700,b2,3.000000
1700,b1,0.003000
1700,b2,2.890000
1800,b1,0.010000
1800,b2,3.348000
1800,b1,0.002000
1800,b2,3.283000
1800,b1,0.003000
1800,b2,3.233000
1800,b1,0.003000
1800,b2,3.300000
1800,b1,0.003000
1800,b2,3.392000
1800,b1,0.003000
1800,b2,3.594000
1800,b1,0.003000
1800,b2,3.352000
1800,b1,0.003000
1800,b2,3.294000
1800,b1,0.003000
1800,b2,3.299000
1800,b1,0.003000
1800,b2,3.272000
1900,b1,0.006000
1900,b2,3.753000
1900,b1,0.003000
1900,b2,3.672000
1900,b1,0.003000
1900,b2,3.646000
1900,b1,0.003000
1900,b2,3.726000
1900,b1,0.004000
1900,b2,3.711000
1900,b1,0.003000
1900,b2,3.688000
1900,b1,0.003000
1900,b2,3.710000
1900,b1,0.003000
1900,b2,3.607000
1900,b1,0.003000
1900,b2,3.635000
1900,b1,0.003000
1900,b2,4.512000
2000,b1,0.007000
2000,b2,4.114000
2000,b1,0.003000
2000,b2,4.115000
2000,b1,0.003000
2000,b2,4.068000
2000,b1,0.003000
2000,b2,4.037000
2000,b1,0.003000
2000,b2,4.139000
2000,b1,0.003000
2000,b2,4.044000
2000,b1,0.003000
2000,b2,4.535000
2000,b1,0.004000
2000,b2,5.250000
2000,b1,0.004000
2000,b2,4.405000
2000,b1,0.003000
2000,b2,4.079000
1000,b1,0.022000
1000,b2,1.104000
1000,b1,0.002000
1000,b2,1.085000
1000,b1,0.002000
1000,b2,1.070000
1000,b1,0.002000
1000,b2,1.112000
1000,b1,0.002000
1000,b2,1.185000
1000,b1,0.003000
1000,b2,1.340000
1000,b1,0.003000
1000,b2,1.163000
1000,b1,0.002000
1000,b2,1.152000
1000,b1,0.002000
1000,b2,1.120000
1000,b1,0.002000
1000,b2,1.098000
1100,b1,0.006000
1100,b2,1.313000
1100,b1,0.003000
1100,b2,1.327000
1100,b1,0.003000
1100,b2,1.322000
1100,b1,0.002000
1100,b2,1.582000
1100,b1,0.002000
1100,b2,1.408000
1100,b1,0.002000
1100,b2,1.372000
1100,b1,0.002000
1100,b2,1.471000
1100,b1,0.002000
1100,b2,1.261000
1100,b1,0.002000
1100,b2,1.321000
1100,b1,0.002000
1100,b2,1.331000
1200,b1,0.007000
1200,b2,1.866000
1200,b1,0.003000
1200,b2,1.650000
1200,b1,0.003000
1200,b2,1.622000
1200,b1,0.002000
1200,b2,1.868000
1200,b1,0.002000
1200,b2,1.607000
1200,b1,0.003000
1200,b2,1.594000
1200,b1,0.002000
1200,b2,1.651000
1200,b1,0.002000
1200,b2,1.527000
1200,b1,0.002000
1200,b2,1.539000
1200,b1,0.002000
1200,b2,1.511000
1300,b1,0.011000
1300,b2,2.107000
1300,b1,0.003000
1300,b2,1.909000
1300,b1,0.003000
1300,b2,1.865000
1300,b1,0.002000
1300,b2,1.751000
1300,b1,0.002000
1300,b2,1.838000
1300,b1,0.002000
1300,b2,1.750000
1300,b1,0.003000
1300,b2,1.801000
1300,b1,0.003000
1300,b2,1.795000
1300,b1,0.002000
1300,b2,1.808000
1300,b1,0.002000
1300,b2,1.764000
1400,b1,0.009000
1400,b2,2.075000
1400,b1,0.002000
1400,b2,2.124000
1400,b1,0.003000
1400,b2,2.045000
1400,b1,0.002000
1400,b2,2.074000
1400,b1,0.003000
1400,b2,2.031000
1400,b1,0.003000
1400,b2,2.609000
1400,b1,0.003000
1400,b2,2.552000
1400,b1,0.004000
1400,b2,2.567000
1400,b1,0.003000
1400,b2,2.569000
1400,b1,0.004000
1400,b2,2.365000
1500,b1,0.010000
1500,b2,2.480000
1500,b1,0.003000
1500,b2,2.553000
1500,b1,0.003000
1500,b2,2.365000
1500,b1,0.003000
1500,b2,2.419000
1500,b1,0.002000
1500,b2,2.384000
1500,b1,0.002000
1500,b2,2.457000
1500,b1,0.002000
1500,b2,2.288000
1500,b1,0.003000
1500,b2,2.321000
1500,b1,0.003000
1500,b2,2.288000
1500,b1,0.003000
1500,b2,2.332000
1600,b1,0.021000
1600,b2,2.687000
1600,b1,0.003000
1600,b2,2.718000
1600,b1,0.002000
1600,b2,2.710000
1600,b1,0.002000
1600,b2,2.670000
1600,b1,0.003000
1600,b2,2.632000
1600,b1,0.002000
1600,b2,2.569000
1600,b1,0.002000
1600,b2,2.579000
1600,b1,0.003000
1600,b2,2.614000
1600,b1,0.003000
1600,b2,2.628000
1600,b1,0.003000
1600,b2,2.583000
1700,b1,0.006000
1700,b2,2.910000
1700,b1,0.003000
1700,b2,2.965000
1700,b1,0.003000
1700,b2,2.888000
1700,b1,0.002000
1700,b2,2.921000
1700,b1,0.003000
1700,b2,2.909000
1700,b1,0.003000
1700,b2,2.921000
1700,b1,0.003000
1700,b2,2.942000
1700,b1,0.003000
1700,b2,2.913000
1700,b1,0.002000
1700,b2,2.980000
1700,b1,0.003000
1700,b2,2.917000
1800,b1,0.006000
1800,b2,3.353000
1800,b1,0.003000
1800,b2,3.255000
1800,b1,0.003000
1800,b2,3.268000
1800,b1,0.003000
1800,b2,3.475000
1800,b1,0.003000
1800,b2,3.831000
